"numsessions","numdays","numpurchases","totpurchases","totplaytime","totscore","numlives","numelements","difflevel","skill1","skill2","country","opsys","acquis","trendsession","trendpurchase","y"
3,5,1,2,29.1081740171166,94.505822987137,22,16,1,0.366229038048444,0.216388905933833,"2",0,1,-0.265907824251365,-0.00228548000602324,1
9,7,2,9.24099526167722,354.679010756023,99.568892851961,35,20,3,0.420537861699648,0.525765176753517,"4",1,1,2.50900048833206,0.340704044518012,2
3,4,2,18.7228468243268,161.025489970353,92.8938751484668,33,16,2,0.350359665090429,0.537637533309886,"4",1,1,-1.23402720284749,0.390141099597488,1
6,7,2,12.1640326339648,226.110410128917,99.5421999997162,33,21,2,0.512594206816268,0.368670827151453,"2",0,0,1.42244594311908,1.48911815186688,3
5,7,3,8.76833766225508,381.166019198125,106.933082347888,33,24,1,0.510884110524636,0.305826259404864,"1",1,1,2.50132403773471,0.681314180500207,2
6,6,1,14.3923149826217,305.386600543911,95.2855487911548,33,19,1,0.394529547841921,0.668787633427428,"2",0,0,2.36977273013752,0.588176183443803,3
7,6,1,11.2683214331846,232.156481273029,98.2401175407422,30,22,1,0.546429589333046,0.388993708656598,"1",1,0,2.95750786178567,-0.18353305527235,2
16,7,4,17.2192569449137,665.908857959344,108.917005787521,46,29,2,0.72036444710124,0.454935990397585,"4",1,0,4.9965231775331,2.88954446134258,3
3,6,2,19.5800880301266,189.634921917219,92.7950112426838,24,17,2,0.355413843880755,0.441270636693722,"1",1,1,-1.27925547128439,0.04585299036066,1
6,6,1,10.9789769976785,210.855422594708,95.2813253953744,20,16,3,0.37829893796029,0.496511468028342,"1",0,0,2.5003444328998,0.564628896105514,2
10,6,4,5.03174625995858,168.868477961076,101.054309730496,27,21,2,0.424179615882902,0.52711932116066,"5",1,0,0.75052909553131,0.377110757685144,4
8,7,4,6.45235857427231,295.950495542619,102.914455695352,36,24,3,0.603231024411175,0.41026331381085,"2",0,0,1.12530491452262,2.03639603735246,3
7,7,3,5.01977902221472,283.668299175155,103.236661145549,26,20,2,0.481184933243624,0.541306752387628,"4",1,0,2.68789650613189,1.25147449048873,3
6,7,2,8.10263613050818,278.148306217664,98.3314013857506,29,20,2,0.47495424488252,0.664095277537937,"1",1,0,2.4103700223607,0.352584869730462,2
7,5,3,4.97174826560248,170.96753595693,100.76685351037,33,22,2,0.458583156642631,0.618043274684832,"6",0,0,0.98955222116239,0.134965493680849,4
11,7,4,4.52995478915755,336.206582483457,107.568721685685,38,25,2,0.659364986325937,0.510516854292837,"2",0,0,2.71512253293725,1.23507490386463,4
9,7,4,6.69912608222886,359.893541755445,105.480911415591,30,25,2,0.661769269238292,0.495676972587636,"5",1,0,1.54680705250078,0.950523521914195,3
4,6,3,15.3719357449024,258.034711706987,98.7912089128455,38,21,2,0.528698187594884,0.606842283456971,"2",1,0,-0.31309922230464,1.77582795334577,4
10,5,2,19.9944871590428,115.038802400559,96.6649869807448,21,19,2,0.487060265900008,0.530336894444288,"1",1,0,1.93782517934753,0.516197139914928,4
8,7,5,7.31838193118943,373.880991566096,105.225104726291,36,26,3,0.59598609284871,0.582247265610726,"3",0,1,0.719860541980836,2.11382840441521,3
1,3,1,7.26393461868576,55.535053391114,93.7336110753685,21,16,2,0.420183281445798,0.583658202642155,"3",1,1,-0.993317941869506,0.422081574438361,1
5,3,5,6.18703676082791,100.571316981521,101.355500070034,29,26,2,0.637004947647968,0.563073130502232,"5",0,1,0.347317077765283,1.4445931483094,4
3,5,2,6.53611921475301,206.278704972715,106.794496711543,30,22,2,0.535897223956002,0.571338543355156,"5",0,1,1.78586129682186,1.18999799783104,4
4,5,2,2,75.660422292036,98.7841996837629,31,18,1,0.472117924496742,0.674402702716805,"6",1,0,0.189676002413319,1.03861831036017,1
5,5,3,3.87436068385141,195.071520044357,103.554870198685,33,24,1,0.56010660229269,0.590887355559442,"2",0,1,0.290911188254956,0.850549768921475,4
4,5,5,17.4833769996839,238.614533487009,107.579154992321,35,26,2,0.652032928974657,0.566813317874304,"4",1,0,1.5640013072336,1.86962026608899,1
1,5,3,3.21010156667523,238.127429863328,94.2627734935704,18,16,3,0.409639217356977,0.569751649310736,"5",0,1,2.49164682990133,0.370302662596552,1
9,6,3,5.80355644923422,285.710590869769,97.5165043013679,31,19,2,0.46103244700129,0.501382076178846,"5",0,1,2.61311339558796,1.18582848728999,4
9,6,3,5.68744323887976,368.984302416032,101.959399363522,37,24,2,0.534301449737414,0.590882974332658,"5",0,0,1.94346213696859,0.0642212625930514,4
7,7,3,2.48283500623515,223.468052331906,95.3719918098229,22,21,1,0.452274334728403,0.455689472424237,"3",1,0,1.27650001544907,2.74701049451721,3
10,7,5,5.69894870197642,241.819761482074,104.670669893577,40,24,1,0.516520915374972,0.573398084777614,"6",0,1,2.94887333212507,1.4629247692205,3
9,6,1,2,174.94599398242,96.4639974889265,29,17,1,0.492565969737821,0.580199890078589,"5",0,1,0.577436778719966,-0.956632013346944,1
2,6,3,5.06415313299415,131.303367088143,94.0210949987907,24,18,2,0.406467641102641,0.293541817145355,"3",0,0,0.830680959489054,1.04913421584502,4
7,6,3,5.01822064258707,279.511637861974,100.014136252455,35,22,2,0.573942849505252,0.479719654694381,"4",1,0,0.513866119923649,0.603036665015588,4
7,7,3,7.3388541251686,303.589906367016,93.9871996581687,28,22,3,0.523179375924102,0.399620181594204,"1",1,1,3.66226054611061,1.48222106747615,2
4,6,2,2.41271074903798,104.190716450898,91.5208917288154,26,18,3,0.41492221713117,0.468848856090539,"2",0,0,1.50995254954344,0.98356854428517,1
3,5,3,5.23988055650848,130.376690126935,100.3804863019,30,19,2,0.398607603844271,0.458661616154271,"5",0,0,1.53113614766045,0.971307365952371,1
6,7,5,11.7848403974285,352.299510893115,109.371608725439,33,23,1,0.572190333719583,0.39273007397546,"4",1,0,1.37979874891432,-0.467775284564073,3
11,7,3,10.7909364041319,326.303501279171,104.480751126765,39,27,2,0.645354917414568,0.341934921985882,"2",0,1,1.83333456259868,0.166363905745259,2
9,7,5,15.6405727005419,403.470030800751,105.180795674413,31,25,3,0.633564830900909,0.466954272969224,"4",1,0,2.96637464682552,0.866040812043328,4
5,5,4,22.0459611009103,227.954959526738,106.593599725274,37,27,2,0.655032320790902,0.546629168332408,"6",1,0,0.430416621132632,4.27695856105454,2
7,7,3,8.25066991950093,302.113053621611,103.158939250952,36,20,1,0.494295740559427,0.482967046807357,"6",0,1,0.97862506283776,-0.0732487280225008,2
3,5,1,2,28.9771718509059,88.2221558993806,27,10,2,0.243267809004478,0.357009877835398,"5",0,0,0.743235575032944,-2.78939985458178,1
5,6,3,8.21684605867832,145.50153558914,97.2294454145073,36,20,3,0.514240588426417,0.473318471080825,"1",1,0,1.21885229907036,-0.890792207235355,2
7,6,4,10.8309586629411,204.451322550121,100.833372022087,29,23,2,0.514133809864926,0.736488142828667,"2",1,0,1.52046174498924,3.33425682419851,2
8,7,3,2.66134397432502,199.922995767442,96.3481845141208,21,18,1,0.422291891020841,0.377239964792575,"3",1,0,1.98025783907111,0.591060031671109,3
8,7,3,8.73256805704091,271.516990142022,100.100972354045,37,19,2,0.371328483531465,0.528718924277894,"4",1,0,1.97004899018777,1.53381063720353,3
11,7,4,3.94076449420434,407.65763394817,105.8783001707,43,26,1,0.557745813825726,0.427122668992256,"4",1,1,3.75003650872542,2.97001699608878,3
6,7,4,23.3716577193678,248.786725971631,101.576721586323,32,21,3,0.560273916858775,0.397073143949255,"3",1,1,-0.475441272394749,1.40319918040209,1
13,6,2,11.8025369658988,277.162590113806,100.438586181766,36,22,1,0.573900123375856,0.536698463315048,"6",1,0,1.03043149136953,2.23607153635157,2
9,7,5,8.33127030227913,399.164235338318,112.123333342439,33,30,1,0.704261729300648,0.411155658141269,"5",0,0,3.17304567849516,3.57197668562543,2
5,3,2,3.39322514071894,27.859064736944,93.58135075478,23,22,1,0.476852841882224,0.395747176540397,"6",0,0,0.101147749897483,1.44964955472524,1
2,6,1,2,91.4481149164215,89.3877542486977,26,15,2,0.350789131401018,0.619909489037883,"4",1,0,-2.09808155150682,-0.494404640507888,1
6,7,4,11.9731834682903,234.954122128213,100.845439019546,23,23,2,0.534908349041774,0.513073432339021,"3",0,1,1.50265227299817,1.6301894247348,3
3,5,2,14.5352397753335,44.5229802753722,95.0224242972526,30,17,3,0.336023952425701,0.377842150775929,"4",1,0,1.19698045526215,0.644598670670829,4
3,4,1,3.09273787929257,101.559062509698,87.9076741795768,25,15,1,0.45576173566186,0.481071354878068,"4",1,1,1.23539642185611,0.735596059805793,1
1,4,2,2.79669303361242,12.958854408706,88.1401710044504,22,14,2,0.317487215433883,0.586453439171791,"4",1,0,-0.756291768823248,-2.80017333805643,2
7,7,4,6.01782401216309,431.849365597567,112.449610586722,40,24,1,0.601794936698634,0.524197756645648,"1",0,1,2.68366908317515,0.762727640372597,3
8,5,1,2,144.845276698946,92.1336885092629,32,16,1,0.325798100902605,0.461363635916281,"4",1,1,-0.138037411938936,0.383460122060214,1
6,7,1,5.94887594832381,283.039815902782,95.6755392952284,30,16,2,0.526113946708106,0.371256959807493,"6",1,1,1.59303675000366,1.86684397737416,3
9,5,3,4.81429826637901,320.567749257969,100.211114328168,31,22,2,0.505956594901876,0.483217885965647,"1",1,1,1.88803299058046,1.43452541054676,2
7,7,5,9.06619121236476,371.222440267322,103.547539445977,34,22,2,0.58701108015669,0.636806290747927,"4",1,0,2.36073719382003,0.91801794593326,3
2,5,2,13.7480835453356,40.0556456903301,89.2062389578213,22,14,1,0.358902672834744,0.37576691602294,"1",1,0,-0.662342661906631,-0.755153336946661,3
4,3,1,2,208.684290208006,102.646440693829,27,18,2,0.534503359779635,0.546724402086786,"1",0,1,2.60699396876847,0.0348655882598801,1
2,5,2,2.75137238163399,100.003738987332,90.0378485711623,24,17,1,0.324185177156737,0.389998869904262,"3",1,0,-0.468738582133934,-0.00989182792381038,4
3,7,2,8.56161903874311,169.42334054106,92.4562813334735,28,13,3,0.293009279800649,0.535411349209643,"1",1,0,1.73009311544107,-0.817226031763185,2
